,title,name,party,state,district,elected,vote_share (%),age_start,education,end_service
0,Senator,Richard Shelby,Republican,Alabama,,2016.0,64.0,86.0,D,03/01/2023
1,Senator,Tommy Tuberville,Republican,Alabama,,2020.0,60.1,66.0,B,03/01/2023
2,Senator,Lisa Murkowski,Republican,Alaska,,2016.0,44.5,63.0,D,03/01/2023
3,Senator,Dan Sullivan,Republican,Alaska,,2020.0,53.9,56.0,D,03/01/2023
4,Senator,Kyrsten Sinema,Democratic,Arizona,,2018.0,50.0,44.0,D,03/01/2023
5,Senator,Mark Kelly,Democratic,Arizona,,2020.0,51.2,56.0,M,03/01/2023
6,Senator,John Boozman,Republican,Arkansas,,2016.0,59.7,70.0,D,03/01/2023
7,Senator,Tom Cotton,Republican,Arkansas,,2020.0,66.5,43.0,D,03/01/2023
8,Senator,Kamala Harris,Democratic,California,,2016.0,61.8,56.0,D,18/01/2021
9,Senator,Dianne Feinstein,Democratic,California,,2018.0,54.2,87.0,B,03/01/2023
10,Senator,Michael Bennet,Democratic,Colorado,,2016.0,50.0,56.0,D,03/01/2023
11,Senator,John Hickenlooper,Democratic,Colorado,,2020.0,53.5,68.0,M,03/01/2023
12,Senator,Richard Blumenthal,Democratic,Connecticut,,2016.0,63.2,74.0,D,03/01/2023
13,Senator,Chris Murphy,Democratic,Connecticut,,2018.0,59.5,47.0,D,03/01/2023
14,Senator,Tom Carper,Democratic,Delaware,,2018.0,60.0,73.0,M,03/01/2023
15,Senator,Chris Coons,Democratic,Delaware,,2020.0,59.4,57.0,D,03/01/2023
16,Senator,Marco Rubio,Republican,Florida,,2016.0,52.0,49.0,D,03/01/2023
17,Senator,Rick Scott,Republican,Florida,,2018.0,50.1,68.0,D,03/01/2023
18,Senator,Raphael Warnock,Democratic,Georgia,,2020.0,51.0,51.0,D,03/01/2023
19,Senator,Jon Ossoff,Democratic,Georgia,,2020.0,50.6,33.0,M,03/01/2023
20,Senator,Brian Schatz,Democratic,Hawaii,,2016.0,73.6,48.0,B,03/01/2023
21,Senator,Mazie Hirono,Democratic,Hawaii,,2018.0,71.2,73.0,D,03/01/2023
22,Senator,Mike Crapo,Republican,Idaho,,2016.0,66.1,69.0,D,03/01/2023
23,Senator,Jim Risch,Republican,Idaho,,2020.0,62.6,77.0,D,03/01/2023
24,Senator,Tammy Duckworth,Democratic,Illinois,,2016.0,54.9,52.0,D,03/01/2023
25,Senator,Dick Durbin,Democratic,Illinois,,2020.0,54.9,76.0,D,03/01/2023
26,Senator,Todd Young,Republican,Indiana,,2016.0,52.1,48.0,D,03/01/2023
27,Senator,Mike Braun,Republican,Indiana,,2018.0,50.9,66.0,M,03/01/2023
28,Senator,Chuck Grassley,Republican,Iowa,,2016.0,60.1,87.0,M,03/01/2023
29,Senator,Joni Ernst,Republican,Iowa,,2020.0,51.8,50.0,M,03/01/2023
30,Senator,Jerry Moran,Republican,Kansas,,2016.0,62.1,66.0,D,03/01/2023
31,Senator,Roger Marshall,Republican,Kansas,,2020.0,53.2,60.0,D,03/01/2023
32,Senator,Rand Paul,Republican,Kentucky,,2016.0,57.3,57.0,D,03/01/2023
33,Senator,Mitch McConnell,Republican,Kentucky,,2020.0,57.8,78.0,D,03/01/2023
34,Senator,John Kennedy,Republican,Louisiana,,2016.0,60.6,69.0,D,03/01/2023
35,Senator,Bill Cassidy,Republican,Louisiana,,2020.0,59.3,63.0,D,03/01/2023
36,Senator,Angus King,Democratic,Maine,,2018.0,54.3,76.0,D,03/01/2023
37,Senator,Susan Collins,Republican,Maine,,2020.0,51.0,68.0,B,03/01/2023
38,Senator,Chris Van Hollen,Democratic,Maryland,,2016.0,60.9,61.0,D,03/01/2023
39,Senator,Ben Cardin,Democratic,Maryland,,2018.0,64.9,77.0,D,03/01/2023
40,Senator,Elizabeth Warren,Democratic,Massachusetts,,2018.0,60.4,71.0,D,03/01/2023
41,Senator,Ed Markey,Democratic,Massachusetts,,2020.0,66.2,74.0,D,03/01/2023
42,Senator,Debbie Stabenow,Democratic,Michigan,,2018.0,52.3,70.0,M,03/01/2023
43,Senator,Gary Peters,Democratic,Michigan,,2020.0,49.9,62.0,D,03/01/2023
44,Senator,Amy Klobuchar,Democratic,Minnesota,,2018.0,60.3,60.0,D,03/01/2023
45,Senator,Tina Smith,Democratic,Minnesota,,2020.0,48.8,62.0,M,03/01/2023
46,Senator,Roger Wicker,Republican,Mississippi,,2018.0,58.5,69.0,D,03/01/2023
47,Senator,Cindy Hyde-Smith,Republican,Mississippi,,2020.0,54.1,61.0,B,03/01/2023
48,Senator,Roy Blunt,Republican,Missouri,,2016.0,49.3,70.0,M,03/01/2023
49,Senator,Josh Hawley,Republican,Missouri,,2018.0,51.4,41.0,D,03/01/2023
50,Senator,Jon Tester,Democratic,Montana,,2018.0,50.3,64.0,B,03/01/2023
51,Senator,Steve Daines,Republican,Montana,,2020.0,55.0,58.0,B,03/01/2023
52,Senator,Deb Fischer,Republican,Nebraska,,2018.0,57.7,69.0,B,03/01/2023
53,Senator,Ben Sasse,Republican,Nebraska,,2020.0,62.7,48.0,D,03/01/2023
54,Senator,Catherine Cortez Masto,Democratic,Nevada,,2016.0,47.1,56.0,D,03/01/2023
55,Senator,Jacky Rosen,Democratic,Nevada,,2018.0,50.4,63.0,B,03/01/2023
56,Senator,Maggie Hassan,Democratic,New Hampshire,,2016.0,48.0,62.0,D,03/01/2023
57,Senator,Jeanne Shaheen,Democratic,New Hampshire,,2020.0,56.7,73.0,M,03/01/2023
58,Senator,Bob Menendez,Democratic,New Jersey,,2018.0,54.0,67.0,D,03/01/2023
59,Senator,Cory Booker,Democratic,New Jersey,,2020.0,57.2,51.0,D,03/01/2023
